date,strategy,bench_000300.SH
2018-01-31,998866.07,1000000.00
2018-02-28,942353.94,941004.89
2018-03-30,906171.95,911737.64
2018-04-27,880743.30,878616.84
2018-05-31,852435.35,889257.73
2018-06-29,785817.18,821110.33
2018-07-31,798052.52,822670.77
2018-08-31,782325.37,779836.92
2018-09-28,802193.41,804243.79
2018-10-31,750687.04,737581.43
2018-11-30,749093.63,741993.74
2018-12-28,723762.23,704098.46
2019-01-31,745161.54,748762.63
2019-02-28,810659.70,858151.85
2019-03-29,831383.97,905620.45
2019-04-30,825052.03,915178.62
2019-05-31,774131.25,848895.08
2019-06-28,779028.50,894686.16
2019-07-31,771290.71,896971.43
2019-08-30,726706.84,888605.33
2019-09-30,735516.80,892099.78
2019-10-31,738580.22,908990.66
2019-11-29,728025.89,895407.25
2019-12-31,767616.76,958063.43
2020-01-23,739768.65,936388.27
2020-02-28,716705.07,921455.15
2020-03-31,684816.90,862077.30
2020-04-30,683241.78,915030.40
2020-05-29,656742.41,904376.73
2020-06-30,671934.82,973821.90
2020-07-31,721661.13,1098025.62
2020-08-31,737919.72,1126363.31
2020-09-30,708085.21,1072849.41
2020-10-30,699380.15,1098092.88
2020-11-30,748261.03,1160049.00
2020-12-31,709396.79,1218758.67
2021-01-29,695378.46,1251658.45
2021-02-26,727826.49,1248102.77
2021-03-31,761038.90,1180654.92
2021-04-30,732743.97,1198225.09
2021-05-31,739090.69,1246888.69
2021-06-30,716343.05,1221741.09
2021-07-30,667321.05,1125183.25
2021-08-31,803375.69,1123883.04
2021-09-30,842214.66,1138095.88
2021-10-29,811355.80,1148009.01
2021-11-30,774956.21,1130060.94
2021-12-31,831491.62,1155400.01
2022-01-28,807278.07,1067324.66
2022-02-28,815860.04,1071504.81
2022-03-31,803761.09,987534.36
2022-04-29,791149.53,939274.14
2022-05-31,776351.40,956879.01
2022-06-30,783733.46,1048904.85
2022-07-29,741275.46,975257.43
2022-08-31,745541.54,953914.16
2022-09-30,718606.33,889844.60
2022-10-31,686988.87,820576.85
2022-11-30,751384.67,901105.68
2022-12-30,728761.21,905455.01
2023-01-31,758292.31,972160.05
2023-02-28,773328.50,951720.11
2023-03-31,794907.93,947385.82
2023-04-28,860475.25,942278.14
2023-05-31,848081.24,888361.43
2023-06-30,834518.46,898630.20
2023-07-31,862741.60,938897.41
2023-08-31,819007.00,880579.30
2023-09-28,828865.05,862863.59
2023-10-31,806940.81,835498.20
2023-11-30,805257.07,817653.35
2023-12-29,799129.03,802430.14
2024-01-31,837631.16,751971.01
2024-02-29,882398.43,822302.61
2024-03-29,890067.37,827307.81
2024-04-30,920373.52,842955.98
2024-05-31,948074.54,837233.30
2024-06-28,934603.35,809574.16
2024-07-31,912601.51,804996.73
2024-08-30,888851.09,776779.95
2024-09-30,1020691.76,939651.49
2024-10-31,967688.55,909993.42
2024-11-29,968015.77,915967.28
2024-12-31,1002981.15,920253.56
2025-01-27,968240.29,892696.61
2025-02-28,931333.52,909761.68
2025-03-31,941764.19,909120.16
2025-04-30,922182.65,881819.44
2025-05-30,948638.90,898111.17
2025-06-30,945125.09,920526.76
2025-07-31,946695.08,953154.31
2025-08-29,967428.45,1051652.42
2025-09-30,922497.51,1085314.21
2025-10-31,958120.72,1085308.15
2025-11-28,951115.86,1058645.68
2025-12-31,958461.26,1082799.18
